교육지원청,"정보공시 학교코드",학교명,지역,학급수(계),학생수(계),"특수학급 학급수","특수학급 학생수",학교급코드,학교구분,공시연도
서울특별시강남서초교육지원청,S010000760,서울서래초등학교,서초구,47,1337,2,14,2,초,2023
교육부,S000003511,서울교육대학교부설초등학교,서초구,28,610,1,4,2,초,2023
교육부,S000003563,서울대학교사범대학부설초등학교,종로구,31,595,1,7,2,초,2023
서울특별시강남서초교육지원청,S010000739,서울개포초등학교,강남구,42,649,2,3,2,초,2023
서울특별시강남서초교육지원청,S010000741,서울구룡초등학교,강남구,34,737,2,11,2,초,2023
서울특별시강남서초교육지원청,S010000742,서울논현초등학교,강남구,15,248,2,12,2,초,2023
서울특별시강남서초교육지원청,S010000743,서울대곡초등학교,강남구,48,1175,1,2,2,초,2023
서울특별시강남서초교육지원청,S010000745,서울대모초등학교,강남구,32,849,1,2,2,초,2023
서울특별시강남서초교육지원청,S010000746,서울대왕초등학교,강남구,28,562,2,6,2,초,2023
서울특별시강남서초교육지원청,S010000747,서울대진초등학교,강남구,17,265,2,3,2,초,2023
서울특별시강남서초교육지원청,S010000748,서울대청초등학교,강남구,13,105,2,7,2,초,2023
서울특별시강남서초교육지원청,S010000750,서울대현초등학교,강남구,34,842,2,6,2,초,2023
서울특별시강남서초교육지원청,S010000751,서울도곡초등학교,강남구,38,879,2,9,2,초,2023
서울특별시강남서초교육지원청,S010000752,서울도성초등학교,강남구,58,1805,1,3,2,초,2023
서울특별시강남서초교육지원청,S010000755,서울방배초등학교,서초구,35,795,2,9,2,초,2023
서울특별시강남서초교육지원청,S010000756,서울방일초등학교,서초구,38,967,1,6,2,초,2023
서울특별시강남서초교육지원청,S010000759,서울삼릉초등학교,강남구,24,536,1,1,2,초,2023
서울특별시강남서초교육지원청,S010000761,서울서원초등학교,서초구,53,1513,2,12,2,초,2023
서울특별시강남서초교육지원청,S010000763,서울서일초등학교,서초구,24,498,1,5,2,초,2023
서울특별시강남서초교육지원청,S010000764,서울서초초등학교,서초구,37,1027,1,5,2,초,2023
서울특별시강남서초교육지원청,S010000765,서울수서초등학교,강남구,14,142,2,7,2,초,2023
서울특별시강남서초교육지원청,S010000766,서울신구초등학교,강남구,23,466,2,10,2,초,2023
서울특별시강남서초교육지원청,S010000768,서울신중초등학교,서초구,37,833,1,5,2,초,2023
서울특별시강남서초교육지원청,S010000770,서울양재초등학교,서초구,27,533,2,9,2,초,2023
서울특별시강남서초교육지원청,S010000771,서울양전초등학교,강남구,22,402,1,7,2,초,2023
서울특별시강남서초교육지원청,S010000772,서울언남초등학교,서초구,48,1063,3,13,2,초,2023
서울특별시강남서초교육지원청,S010000773,서울언북초등학교,강남구,61,1659,2,10,2,초,2023
서울특별시강남서초교육지원청,S010000774,서울언주초등학교,강남구,53,1481,2,12,2,초,2023
서울특별시강남서초교육지원청,S010000775,서울역삼초등학교,강남구,19,326,2,9,2,초,2023
서울특별시강남서초교육지원청,S010000776,서울영희초등학교,강남구,16,306,2,13,2,초,2023
서울특별시강남서초교육지원청,S010000777,서울왕북초등학교,강남구,35,846,2,8,2,초,2023
서울특별시강남서초교육지원청,S010000778,서울우암초등학교,서초구,15,252,2,8,2,초,2023
서울특별시강남서초교육지원청,S010000780,서울원촌초등학교,서초구,44,1058,2,10,2,초,2023
서울특별시강남서초교육지원청,S010000781,서울이수초등학교,서초구,27,565,2,10,2,초,2023
서울특별시강남서초교육지원청,S010000782,서울일원초등학교,강남구,44,1261,1,3,2,초,2023
서울특별시강남서초교육지원청,S010000785,서울포이초등학교,강남구,25,488,1,6,2,초,2023
서울특별시강동송파교육지원청,S010000897,서울가동초등학교,송파구,36,795,1,1,2,초,2023
서울특별시강동송파교육지원청,S010000898,서울가락초등학교,송파구,52,1208,1,6,2,초,2023
서울특별시강동송파교육지원청,S010000901,서울강덕초등학교,강동구,49,1163,1,4,2,초,2023
서울특별시강동송파교육지원청,S010000902,서울강동초등학교,강동구,28,540,2,9,2,초,2023
서울특별시강동송파교육지원청,S010000903,서울강일초등학교,강동구,34,690,2,3,2,초,2023
서울특별시강동송파교육지원청,S010000904,서울거여초등학교,송파구,33,685,2,13,2,초,2023
서울특별시강동송파교육지원청,S010000905,서울거원초등학교,송파구,34,636,2,10,2,초,2023
서울특별시강동송파교육지원청,S010000906,서울고덕초등학교,강동구,25,464,2,8,2,초,2023
서울특별시강동송파교육지원청,S010000908,서울고일초등학교,강동구,68,1846,1,5,2,초,2023
서울특별시강동송파교육지원청,S010000909,서울길동초등학교,강동구,37,762,2,12,2,초,2023
서울특별시강동송파교육지원청,S010000910,서울남천초등학교,송파구,19,329,2,5,2,초,2023
서울특별시강동송파교육지원청,S010000911,서울대명초등학교,강동구,36,768,1,5,2,초,2023
서울특별시강동송파교육지원청,S010000913,서울마천초등학교,송파구,41,807,2,11,2,초,2023
서울특별시강동송파교육지원청,S010000914,서울명덕초등학교,강동구,58,1802,1,8,2,초,2023
서울특별시강동송파교육지원청,S010000915,서울명원초등학교,강동구,31,749,1,7,2,초,2023
서울특별시강동송파교육지원청,S010000916,서울명일초등학교,강동구,48,1018,2,11,2,초,2023
서울특별시강동송파교육지원청,S010000917,서울묘곡초등학교,강동구,63,1452,1,2,2,초,2023
서울특별시강동송파교육지원청,S010000918,서울문덕초등학교,송파구,28,563,1,5,2,초,2023
서울특별시강동송파교육지원청,S010000919,서울문정초등학교,송파구,34,720,2,6,2,초,2023
서울특별시강동송파교육지원청,S010000921,서울방이초등학교,송파구,27,547,2,8,2,초,2023
서울특별시강동송파교육지원청,S010000922,서울삼전초등학교,송파구,37,696,3,16,2,초,2023
서울특별시강동송파교육지원청,S010000923,서울상일초등학교,강동구,12,168,1,2,2,초,2023
서울특별시강동송파교육지원청,S010000924,서울석촌초등학교,송파구,36,693,3,14,2,초,2023
서울특별시강동송파교육지원청,S010000925,서울선린초등학교,강동구,23,423,1,3,2,초,2023
서울특별시강동송파교육지원청,S010000927,서울성내초등학교,강동구,40,814,2,13,2,초,2023
서울특별시강동송파교육지원청,S010000928,서울성일초등학교,강동구,51,1049,2,6,2,초,2023
서울특별시강동송파교육지원청,S010000929,서울세륜초등학교,송파구,30,603,2,13,2,초,2023
서울특별시강동송파교육지원청,S010000931,서울송파초등학교,송파구,26,548,1,2,2,초,2023
서울특별시강동송파교육지원청,S010000932,서울신가초등학교,송파구,33,668,1,7,2,초,2023
서울특별시강동송파교육지원청,S010000933,서울신명초등학교,강동구,23,419,1,1,2,초,2023
서울특별시강동송파교육지원청,S010000934,서울신암초등학교,강동구,36,716,2,10,2,초,2023
서울특별시강동송파교육지원청,S010000935,서울신천초등학교,송파구,25,411,2,11,2,초,2023
서울특별시강동송파교육지원청,S010000937,서울영풍초등학교,송파구,33,670,2,9,2,초,2023
서울특별시강동송파교육지원청,S010000938,서울오금초등학교,송파구,32,660,1,4,2,초,2023
서울특별시강동송파교육지원청,S010000943,서울잠실초등학교,송파구,42,1013,1,9,2,초,2023
서울특별시강동송파교육지원청,S010000944,서울잠일초등학교,송파구,58,1676,1,6,2,초,2023
서울특별시강동송파교육지원청,S010000945,서울잠전초등학교,송파구,26,516,2,8,2,초,2023
서울특별시강동송파교육지원청,S010000946,서울중대초등학교,송파구,46,1008,1,4,2,초,2023
서울특별시강동송파교육지원청,S010000947,서울천동초등학교,강동구,38,770,2,10,2,초,2023
서울특별시강동송파교육지원청,S010000948,서울천일초등학교,강동구,18,278,2,5,2,초,2023
서울특별시강동송파교육지원청,S010000949,서울천호초등학교,강동구,34,667,2,8,2,초,2023
서울특별시강동송파교육지원청,S010000950,서울토성초등학교,송파구,34,698,1,5,2,초,2023
서울특별시강동송파교육지원청,S010000951,서울평화초등학교,송파구,13,175,1,4,2,초,2023
서울특별시강동송파교육지원청,S010000952,서울풍납초등학교,송파구,20,347,2,6,2,초,2023
서울특별시강동송파교육지원청,S010000953,서울풍성초등학교,송파구,16,291,1,2,2,초,2023
서울특별시강동송파교육지원청,S010000954,서울한산초등학교,강동구,35,718,1,4,2,초,2023
서울특별시강서양천교육지원청,S010001005,서울가양초등학교,강서구,16,207,2,8,2,초,2023
서울특별시강서양천교육지원청,S010001007,서울강서초등학교,양천구,48,948,3,17,2,초,2023
서울특별시강서양천교육지원청,S010001008,서울강신초등학교,양천구,35,742,1,4,2,초,2023
서울특별시강서양천교육지원청,S010001009,서울강월초등학교,양천구,29,479,1,6,2,초,2023
서울특별시강서양천교육지원청,S010001010,서울개화초등학교,강서구,10,89,2,4,2,초,2023
서울특별시강서양천교육지원청,S010001012,서울계남초등학교,양천구,34,717,1,6,2,초,2023
